id,external_id,annotations,compound_id,creator_id,updater_id,created_at,updated_at
202,CHEBI:30816,"monohydroxybenzoic acid
methoxybenzoic acid
",846,,,2015-02-23 22:51:42 UTC,2015-02-23 22:51:42 UTC
203,CHEBI:36062,"catechols
dihydroxybenzoic acid
",847,,,2015-02-23 22:51:44 UTC,2015-02-23 22:51:44 UTC
204,CHEBI:39912,"resorcinols
dihydroxybenzoic acid
",848,,,2015-02-23 22:51:46 UTC,2015-02-23 22:51:46 UTC
205,CHEBI:32980,"hydroxy monocarboxylic acid
",849,,,2015-02-23 22:51:49 UTC,2015-02-23 22:51:49 UTC
206,CHEBI:42438,"phenols
",857,,,2015-02-23 22:51:59 UTC,2015-02-23 22:51:59 UTC
207,CPD-1072,"an aromatic compound
",857,,,2015-02-23 22:51:59 UTC,2015-02-23 22:51:59 UTC
208,CHEBI:4630,"monomethoxyflavone
trihydroxyflavone
3'-hydroxyflavonoid
",861,,,2015-02-23 22:52:05 UTC,2015-02-23 22:52:05 UTC
209,C10038,"Flavones and Flavonols
flavones
",861,,,2015-02-23 22:52:05 UTC,2015-02-23 22:52:05 UTC
210,LMPK12110824,"Flavones and Flavonols
",861,,,2015-02-23 22:52:05 UTC,2015-02-23 22:52:05 UTC
211,LMPK12110090,"Flavones and Flavonols
",862,,,2015-02-23 22:52:07 UTC,2015-02-23 22:52:07 UTC
212,CHEBI:78441,"long-chain fatty aldehyde
",876,,,2015-02-23 22:52:30 UTC,2015-02-23 22:52:30 UTC
213,LMFA06000108,"Fatty aldehydes
",876,,,2015-02-23 22:52:30 UTC,2015-02-23 22:52:30 UTC
214,CPD-7884,"a fatty aldehyde
",876,,,2015-02-23 22:52:30 UTC,2015-02-23 22:52:30 UTC
215,CHEBI:10432,"naphthol
",877,,,2015-02-23 22:52:32 UTC,2015-02-23 22:52:32 UTC
216,CPD-8131,"a small molecule
",877,,,2015-02-23 22:52:32 UTC,2015-02-23 22:52:32 UTC
217,CHEBI:16914,"monohydroxybenzoic acid
",882,,,2015-02-23 22:52:36 UTC,2015-02-23 22:52:36 UTC
218,CHEBI:78439,"long-chain fatty aldehyde
",884,,,2015-02-23 22:52:41 UTC,2015-02-23 22:52:41 UTC
219,LMFA06000107,"Fatty aldehydes
",884,,,2015-02-23 22:52:41 UTC,2015-02-23 22:52:41 UTC
220,CPD-7883,"a fatty aldehyde
",884,,,2015-02-23 22:52:41 UTC,2015-02-23 22:52:41 UTC
221,CHEBI:17594,"hydroquinones
benzenediol
",885,,,2015-02-23 22:52:42 UTC,2015-02-23 22:52:42 UTC
